 Тетрадерм крем для наружного применения 15 г туба 1 шт. ;от 568 ₽;АО «Вертекс»;megapteka.ru;https://megapteka.ru/perm/tetraderm
 Тетрадерм крем для наружного применения 30 г туба 1 шт. ;от 820 ₽;АО «Вертекс»;megapteka.ru;https://megapteka.ru/perm/tetraderm
 Доксициклин капсулы 100 мг 20 шт. ;от 33.10 ₽;Борисовский завод медпрепаратов;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин Солюшн таблетки диспергируемые 100 мг 10 шт. ;от 231.10 ₽;ООО "Озон";megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин Экспресс таблетки диспергируемые 100 мг 10 шт. ;от 253 ₽;Фармстандарт;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин капсулы 100 мг 10 шт. ;от 253 ₽;Синтез;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин капсулы 100 мг 20 шт. ;от 253 ₽;РУП Белмедпрепараты;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин капсулы 100 мг 10 шт. ;от 253 ₽;Барнаульский завод МП;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин капсулы 100 мг 20 шт. ;от 253 ₽;ООО "Барнаульский завод медицинских препаратов" (ООО "БЗМП") - Россия;megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Доксициклин капсулы 100 мг 10 шт. ;от 253 ₽;ООО "Озон";megapteka.ru;https://megapteka.ru/perm/doksiciklin-99
 Драмина таблетки 50 мг 10 шт. ;от 167 ₽;Ядран Галенский Лабораторий АО, Хорватия;megapteka.ru;https://megapteka.ru/perm/dramina
 Куриозин гель для наружного применения 15 г туба 1 шт. ;от 478 ₽;Гедеон Рихтер;megapteka.ru;https://megapteka.ru/perm/kuriozin
 Куриозин раствор для наружного применения 0,205% 10 мл флакон 1 шт. ;от 521 ₽;Гедеон Рихтер;megapteka.ru;https://megapteka.ru/perm/kuriozin
 Фотил капли глазные 5 мл флакон 1 шт. ;от 303.90 ₽;Santen;megapteka.ru;https://megapteka.ru/perm/fotil
 Проспан сироп флакон 100 мл 1 шт. ;от 372 ₽;Энгельхард Арцнаймиттель ГмбХ и Ко;megapteka.ru;https://megapteka.ru/perm/prospan
 Проспан сироп флакон 200 мл 1 шт. ;от 372 ₽;Энгельхард Арцнаймиттель ГмбХ и Ко;megapteka.ru;https://megapteka.ru/perm/prospan
 Проспан капли для приема внутрь 20 мл флакон 1 шт. ;от 372 ₽;Энгельхард Арцнаймиттель ГмбХ и Ко;megapteka.ru;https://megapteka.ru/perm/prospan
 Арифон ретард таблетки 1,5 мг 30 шт. ;от 150 ₽;ООО Сердикс;megapteka.ru;https://megapteka.ru/perm/arifon
 Арифон таблетки 2,5 мг 30 шт. ;от 177 ₽;Лаборатории Сервье Индастри;megapteka.ru;https://megapteka.ru/perm/arifon
 Ламитор таблетки 100 мг 50 шт. ;от 913 ₽;Torrent Pharmaceuticals (Индия);megapteka.ru;https://megapteka.ru/perm/lamitor
 Ламитор таблетки 50 мг 50 шт. ;от 603 ₽;Torrent Pharmaceuticals (Индия);megapteka.ru;https://megapteka.ru/perm/lamitor
 Ламитор таблетки 100 мг 30 шт. ;от 671 ₽;Torrent Pharmaceuticals (Индия);megapteka.ru;https://megapteka.ru/perm/lamitor
 Ламитор таблетки 50 мг 30 шт. ;от 400 ₽;Torrent Pharmaceuticals (Индия);megapteka.ru;https://megapteka.ru/perm/lamitor
 Ламитор таблетки 25 мг 50 шт. ;от 400 ₽;Torrent Pharmaceuticals (Индия);megapteka.ru;https://megapteka.ru/perm/lamitor
 Ксеомин 50 ЕД флакон 1 шт. лиофилизат для приготовления раствора для внутримышечного введения ;от 6209 ₽;Мерц Фарма ГмбХ и Ко.КГаА ;megapteka.ru;https://megapteka.ru/perm/kseomin
 Ксеомин 100 ЕД флакон 1 шт. лиофилизат для приготовления раствора для внутримышечного введения ;от 10759 ₽;Merz Pharma;megapteka.ru;https://megapteka.ru/perm/kseomin
 Андипал таблетки 10 шт. ;от 12 ₽;Фармстандарт;megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал таблетки 20 шт. ;от 37 ₽;Фармстандарт;megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал таблетки 20 шт. ;от 35 ₽;Ирбитский ХФЗ ОАО;megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал таблетки 10 шт. ;от 33.60 ₽;ОАО "Дальхимфарм";megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал таблетки 10 шт. ;от 14 ₽;Ирбитский ХФЗ ОАО;megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал Авексима таблетки 10 шт. ;от 48 ₽;Анжеро-Судженский ХФЗ ООО (Россия);megapteka.ru;https://megapteka.ru/perm/andipal
 Андипал Авексима таблетки 20 шт. ;от 50 ₽;Анжеро-Судженский ХФЗ ООО (Россия);megapteka.ru;https://megapteka.ru/perm/andipal
